,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,cols_x,cols_y,dropout,learning_rate,learning_rate_decay,loss,mean_absolute_error,seq_len,session,time,batch_norm,time_distributed
0,0.0,0.0,0.0,x1,y1,0.1,0.02,0.0,12.047870876598274,1.4651640653610232,10,models/model-6/20190603032542,8:22,False,False
1,1.0,1.0,1.0,x1,y1,0.2,0.02,0.0,19.026826092294108,1.6320006847381592,10,models/model-6/20190603090243,10:17,False,False
2,2.0,2.0,,x1,y1,0.0,0.02,0.0,84.32693559831951,3.225684404373169,10,models/model-6/20190603092150,10:46,False,True
3,3.0,3.0,,x1,y1,0.0,0.02,0.0,327.1482133261237,5.29021692276001,10,models/model-6/20190603093239,3:49,True,True
4,4.0,4.0,,x1,y1,0.0,0.02,0.0,8.856982925790179,1.3564717769622805,10,models/model-6/20190603093629,6:36,False,False
5,5.0,,,x1,y1,0.0,0.02,0.0,88.95746702196476,3.39616060256958,10,models/model-6/20190603094527,4:8,True,False
6,,,,x1,y1,0.1,0.02,0.0,11.64989686794758,1.4326245784759521,10,models/model-6/20190603095033,11:4,False,True
7,,,,x1,y1,0.1,0.02,0.0,327.01648268383894,5.302148342132568,10,models/model-6/20190603100140,5:12,True,True
8,,,,x1,y1,0.1,0.02,0.0,64.08800494872489,2.6719648838043213,10,models/model-6/20190603100653,4:49,True,False
9,,,,x1,y1,0.0,0.02,1e-06,21.286150007151058,1.9586856365203857,10,models/model-6/20190603101143,4:49,False,True
10,,,,x1,y1,0.0,0.02,1e-06,326.6698252914744,5.283802032470703,10,models/model-6/20190603101632,3:16,True,True
11,,,,x1,y1,0.0,0.02,1e-06,11.54677342961429,1.504862904548645,10,models/model-6/20190603101948,7:0,False,False
12,,,,x1,y1,0.0,0.02,1e-06,42.5189587402186,2.5788774490356445,10,models/model-6/20190603102650,4:9,True,False
13,,,,x1,y1,0.1,0.02,1e-06,12.072038504007395,1.5043528079986572,10,models/model-6/20190603103059,10:32,False,True
14,,,,x1,y1,0.1,0.02,1e-06,327.0970629530364,5.29757022857666,10,models/model-6/20190603104132,2:22,True,True
15,,,,x1,y1,0.1,0.02,1e-06,12.399417065105835,1.4998313188552856,10,models/model-6/20190603104355,7:21,False,False
16,,,,x1,y1,0.1,0.02,1e-06,49.2144607563914,2.6087050437927246,10,models/model-6/20190603105117,5:17,True,False
17,,,,x1,y1,0.0,0.01,0.0,15.055718762150851,1.6737492084503174,10,models/model-6/20190603105635,4:59,False,True
