,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,cols_x,cols_y,dropout,learning_rate,learning_rate_decay,loss,mean_absolute_error,session,time,batch_norm,time_distributed,lstm_units,sequence_length,num_data_files,2nd_LSTM_layer
27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,x1,y1,0.0,0.01,1e-06,6.62752255704667,1.1646188497543302,models/model-6/20190603121224,12:38,False,False,,10,,
28,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,x1,y1,0.0,0.01,1e-06,10.6782165923981,1.47805035114288,models/model-6/20190603122504,11:11,True,False,,10,,
29,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,x1,y1,0.1,0.01,1e-06,8.35592247523864,1.27432763576508,models/model-6/20190603123615,19:28,False,True,,10,,
30,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,x1,y1,0.1,0.01,1e-06,20.1441065985739,1.7974548339843797,models/model-6/20190603125544,8:55,True,True,,10,,
31,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,x1,y1,0.1,0.01,1e-06,8.3061845853975,1.2548526525497399,models/model-6/20190603130439,15:4,False,False,,10,,
32,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,x1,y1,0.1,0.01,1e-06,15.582782740755599,1.65416288375855,models/model-6/20190603131944,9:15,True,False,,10,,
33,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,x1,y1,0.0,0.001,0.0,5.7265641031052015,1.0360285043716402,models/model-6/20190603132901,16:28,False,True,,10,,
34,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,x1,y1,0.0,0.001,0.0,6.50264470200331,1.12913370132446,models/model-6/20190603134530,27:15,True,True,,10,,
35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,x1,y1,0.0,0.001,0.0,5.138669547580999,0.9421234130859379,models/model-6/20190603141246,21:56,False,False,,10,,
36,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,x1,y1,0.0,0.001,0.0,5.687087211406361,1.0445847511291502,models/model-6/20190603143443,26:26,True,False,,10,,
37,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,x1,y1,0.1,0.001,0.0,6.61091825174908,1.1139167547226,models/model-6/20190603150110,21:0,False,True,,10,,
38,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,x1,y1,0.1,0.001,0.0,7.54880318005813,1.21190500259399,models/model-6/20190603152210,29:52,True,True,,10,,
39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,x1,y1,0.1,0.001,0.0,6.81623639686496,1.1132128238678,models/model-6/20190603155203,24:44,False,False,,10,,
40,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0,x1,y1,0.1,0.001,0.0,7.486257363636921,1.19875013828278,models/model-6/20190603161647,30:47,True,False,,10,,
41,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,x1,y1,0.0,0.001,1e-06,5.53243077525666,1.01336717605591,models/model-6/20190603164735,17:31,False,True,,10,,
42,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,x1,y1,0.0,0.001,1e-06,6.126423176396611,1.09370160102844,models/model-6/20190603170507,28:60,True,True,,10,,
43,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0,x1,y1,0.0,0.001,1e-06,5.1572615296020095,0.956666111946106,models/model-6/20190603173407,20:38,False,False,,10,,
44,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,x1,y1,0.0,0.001,1e-06,5.9506133289230405,1.0764232873916602,models/model-6/20190603175446,24:18,True,False,,10,,
45,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,x1,y1,0.0,0.001,0.0,5.36591469508062,0.987139284610748,models/model-7/20190603190839,31:49,False,False,,20,,
46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,x2,y1,0.1,0.001,1e-06,5.47535165751448,0.979876160621643,models/model-7/20190603213412,170:53,False,,110.0,110,,
47,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,x2,y2,0.2,0.002,1e-07,10.8793909795137,1.16539263725281,models/model-7/20190604002509,49:2,False,,60.0,30,,
48,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0,x1,y2,0.1,0.001,0.0,8.67106785330806,1.0687495470047,models/model-7/20190604011412,100:20,False,,100.0,100,,
49,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,x2,y2,0.0,0.002,1e-06,646.853151903232,7.688095569610598,models/model-7/20190604025433,31:11,True,,200.0,100,,
50,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,x1,y1,0.2,0.002,1e-06,7.41162817949456,1.1493349075317398,models/model-7/20190604032544,95:48,False,,90.0,90,,
51,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,x3,y3,0.1,0.002,1e-07,9.16197997673691,1.2811523675918601,models/model-7/20190604071928,92:49,False,,70.0,70,3.0,
