,Unnamed: 0,Unnamed: 0.1,cols_x,cols_y,dropout,learning_rate,learning_rate_decay,loss,mean_absolute_error,session,time,batch_norm,time_distributed,lstm_units,sequence_length,num_data_files,2nd_LSTM_layer
0,0.0,0.0,x1,y1,0.1,0.02,0.0,12.047870876598301,1.46516406536102,models/model-6/20190603032542,8:22,False,False,,10,,
1,1.0,1.0,x1,y1,0.2,0.02,0.0,19.0268260922941,1.6320006847381598,models/model-6/20190603090243,10:17,False,False,,10,,
2,2.0,2.0,x1,y1,0.0,0.02,0.0,84.32693559831951,3.2256844043731703,models/model-6/20190603092150,10:46,False,True,,10,,
3,3.0,3.0,x1,y1,0.0,0.02,0.0,327.148213326124,5.29021692276001,models/model-6/20190603093239,3:49,True,True,,10,,
4,4.0,4.0,x1,y1,0.0,0.02,0.0,8.856982925790179,1.35647177696228,models/model-6/20190603093629,6:36,False,False,,10,,
5,5.0,5.0,x1,y1,0.0,0.02,0.0,88.9574670219648,3.39616060256958,models/model-6/20190603094527,4:8,True,False,,10,,
6,6.0,6.0,x1,y1,0.1,0.02,0.0,11.6498968679476,1.4326245784759502,models/model-6/20190603095033,11:4,False,True,,10,,
7,7.0,7.0,x1,y1,0.1,0.02,0.0,327.016482683839,5.30214834213257,models/model-6/20190603100140,5:12,True,True,,10,,
8,8.0,8.0,x1,y1,0.1,0.02,0.0,64.0880049487249,2.67196488380432,models/model-6/20190603100653,4:49,True,False,,10,,
9,9.0,9.0,x1,y1,0.0,0.02,1e-06,21.2861500071511,1.95868563652039,models/model-6/20190603101143,4:49,False,True,,10,,
10,10.0,10.0,x1,y1,0.0,0.02,1e-06,326.669825291474,5.2838020324707005,models/model-6/20190603101632,3:16,True,True,,10,,
11,11.0,11.0,x1,y1,0.0,0.02,1e-06,11.546773429614301,1.5048629045486497,models/model-6/20190603101948,7:0,False,False,,10,,
12,12.0,12.0,x1,y1,0.0,0.02,1e-06,42.5189587402186,2.57887744903564,models/model-6/20190603102650,4:9,True,False,,10,,
13,13.0,13.0,x1,y1,0.1,0.02,1e-06,12.072038504007402,1.50435280799866,models/model-6/20190603103059,10:32,False,True,,10,,
14,14.0,14.0,x1,y1,0.1,0.02,1e-06,327.097062953036,5.29757022857666,models/model-6/20190603104132,2:22,True,True,,10,,
15,15.0,15.0,x1,y1,0.1,0.02,1e-06,12.399417065105801,1.49983131885529,models/model-6/20190603104355,7:21,False,False,,10,,
16,16.0,16.0,x1,y1,0.1,0.02,1e-06,49.21446075639141,2.60870504379272,models/model-6/20190603105117,5:17,True,False,,10,,
17,17.0,17.0,x1,y1,0.0,0.01,0.0,15.055718762150901,1.67374920845032,models/model-6/20190603105635,4:59,False,True,,10,,
18,18.0,18.0,x1,y1,0.0,0.01,0.0,229.600256580662,4.30529689788818,models/model-6/20190603110134,5:9,True,True,,10,,
19,19.0,19.0,x1,y1,0.0,0.01,0.0,6.76596735099974,1.19162499904633,models/model-6/20190603110645,12:16,False,False,,10,,
20,20.0,20.0,x1,y1,0.0,0.01,0.0,18.4053170172186,1.8472192287445104,models/model-6/20190603111901,7:28,True,False,,10,,
21,21.0,21.0,x1,y1,0.1,0.01,0.0,10.3695991492258,1.3716641664504998,models/model-6/20190603112629,7:51,False,True,,10,,
22,22.0,22.0,x1,y1,0.1,0.01,0.0,326.391788975246,5.29638338088989,models/model-6/20190603113422,3:28,True,True,,10,,
23,23.0,23.0,x1,y1,0.1,0.01,0.0,9.59259837201076,1.3382638692855802,models/model-6/20190603113750,8:28,False,False,,10,,
24,24.0,24.0,x1,y1,0.1,0.01,0.0,21.2025588770295,1.8447288274765,models/model-6/20190603114619,6:5,True,False,,10,,
25,25.0,25.0,x1,y1,0.0,0.01,1e-06,9.98852770603556,1.41842746734619,models/model-6/20190603115225,6:54,False,True,,10,,
26,26.0,26.0,x1,y1,0.0,0.01,1e-06,25.5255571615902,2.1766574382782,models/model-6/20190603115920,13:4,True,True,,10,,
27,27.0,27.0,x1,y1,0.0,0.01,1e-06,6.62752255704667,1.1646188497543302,models/model-6/20190603121224,12:38,False,False,,10,,
28,28.0,28.0,x1,y1,0.0,0.01,1e-06,10.6782165923981,1.47805035114288,models/model-6/20190603122504,11:11,True,False,,10,,
29,29.0,29.0,x1,y1,0.1,0.01,1e-06,8.35592247523864,1.27432763576508,models/model-6/20190603123615,19:28,False,True,,10,,
30,30.0,30.0,x1,y1,0.1,0.01,1e-06,20.1441065985739,1.7974548339843797,models/model-6/20190603125544,8:55,True,True,,10,,
31,31.0,31.0,x1,y1,0.1,0.01,1e-06,8.3061845853975,1.25485265254974,models/model-6/20190603130439,15:4,False,False,,10,,
32,32.0,32.0,x1,y1,0.1,0.01,1e-06,15.582782740755599,1.65416288375855,models/model-6/20190603131944,9:15,True,False,,10,,
33,33.0,33.0,x1,y1,0.0,0.001,0.0,5.7265641031052015,1.0360285043716402,models/model-6/20190603132901,16:28,False,True,,10,,
34,34.0,34.0,x1,y1,0.0,0.001,0.0,6.50264470200331,1.12913370132446,models/model-6/20190603134530,27:15,True,True,,10,,
35,35.0,35.0,x1,y1,0.0,0.001,0.0,5.138669547580999,0.942123413085938,models/model-6/20190603141246,21:56,False,False,,10,,
36,36.0,36.0,x1,y1,0.0,0.001,0.0,5.687087211406361,1.0445847511291502,models/model-6/20190603143443,26:26,True,False,,10,,
37,37.0,37.0,x1,y1,0.1,0.001,0.0,6.61091825174908,1.1139167547226,models/model-6/20190603150110,21:0,False,True,,10,,
38,38.0,38.0,x1,y1,0.1,0.001,0.0,7.54880318005813,1.21190500259399,models/model-6/20190603152210,29:52,True,True,,10,,
39,39.0,39.0,x1,y1,0.1,0.001,0.0,6.81623639686496,1.1132128238678,models/model-6/20190603155203,24:44,False,False,,10,,
40,40.0,40.0,x1,y1,0.1,0.001,0.0,7.486257363636921,1.19875013828278,models/model-6/20190603161647,30:47,True,False,,10,,
41,41.0,41.0,x1,y1,0.0,0.001,1e-06,5.53243077525666,1.01336717605591,models/model-6/20190603164735,17:31,False,True,,10,,
42,42.0,42.0,x1,y1,0.0,0.001,1e-06,6.126423176396611,1.09370160102844,models/model-6/20190603170507,28:60,True,True,,10,,
43,43.0,43.0,x1,y1,0.0,0.001,1e-06,5.1572615296020095,0.956666111946106,models/model-6/20190603173407,20:38,False,False,,10,,
44,44.0,44.0,x1,y1,0.0,0.001,1e-06,5.9506133289230405,1.0764232873916602,models/model-6/20190603175446,24:18,True,False,,10,,
45,45.0,45.0,x1,y1,0.0,0.001,0.0,5.36591469508062,0.987139284610748,models/model-7/20190603190839,31:49,False,False,,20,,
46,46.0,46.0,x2,y1,0.1,0.001,1e-06,5.47535165751448,0.979876160621643,models/model-7/20190603213412,170:53,False,,110.0,110,,
47,47.0,47.0,x2,y2,0.2,0.002,1e-07,10.8793909795137,1.16539263725281,models/model-7/20190604002509,49:2,False,,60.0,30,,
48,48.0,48.0,x1,y2,0.1,0.001,0.0,8.67106785330806,1.0687495470047,models/model-7/20190604011412,100:20,False,,100.0,100,,
49,49.0,49.0,x2,y2,0.0,0.002,1e-06,646.853151903232,7.688095569610598,models/model-7/20190604025433,31:11,True,,200.0,100,,
50,50.0,50.0,x1,y1,0.2,0.002,1e-06,7.41162817949456,1.1493349075317398,models/model-7/20190604032544,95:48,False,,90.0,90,,
51,51.0,51.0,x3,y3,0.1,0.002,1e-07,9.16197997673691,1.28115236759186,models/model-7/20190604071928,92:49,False,,70.0,70,3.0,
52,52.0,52.0,x3,y3,0.1,0.002,1e-06,7.71148553961999,1.1675907373428305,models/model-7/20190604085222,182:5,False,,160.0,160,4.0,
53,53.0,53.0,x3,y3,0.0,0.001,0.0,6.058173313381832,1.01626574993134,models/model-7/20190604115428,173:17,False,,160.0,160,2.0,
54,54.0,54.0,x3,y3,0.1,0.002,1e-07,6.86155517982595,1.1073101758956898,models/model-7/20190604144746,236:8,False,,130.0,130,4.0,
55,55.0,55.0,x3,y3,0.0,0.001,1e-07,7.081096420394808,1.08434653282166,models/model-7/20190604184355,70:24,False,,70.0,70,2.0,
56,56.0,56.0,x3,y3,0.2,0.005,1e-06,34.2400134658634,2.33036875724792,models/model-7/20190604205547,17:54,False,,20.0,20,7.0,
57,57.0,57.0,x3,y3,0.1,0.005,1e-07,7.99418411255558,1.1707881689071695,models/model-7/20190604212514,95:55,False,,190.0,190,4.0,
58,58.0,58.0,x3,y3,0.0,0.005,1e-06,10.7489039765938,1.35367894172668,models/model-7/20190604230113,32:45,False,,140.0,140,1.0,
59,59.0,59.0,x3,y3,0.2,0.008,1e-07,26.0663858191254,1.92742788791657,models/model-7/20190604233400,6:46,False,,10.0,10,5.0,
60,60.0,60.0,x3,y3,0.0,0.008,1e-07,10.602957342120199,1.42257297039032,models/model-7/20190604234048,30:35,False,,130.0,130,5.0,
61,61.0,61.0,x3,y3,0.1,0.005,1e-07,11.0385586808551,1.43319189548492,models/model-7/20190605001125,28:22,False,,20.0,20,8.0,
62,62.0,62.0,x3,y3,0.0,0.008,1e-06,7.71733629452305,1.23149168491364,models/model-7/20190605003948,94:14,False,,160.0,160,5.0,
63,63.0,63.0,x3,y3,0.1,0.008,1e-07,7.75269809185989,1.16290748119354,models/model-7/20190605021405,57:13,False,,60.0,60,6.0,
